RESOLUTION,FPS,TARGET_BR,MIN_BR,MAX_BR,QUALITY,CRF
256x144,24,200,125,350,LQ,38
256x144,25,200,125,350,LQ,38
256x144,30,200,125,350,LQ,38
256x108,24,200,125,350,LQ,38
256x108,25,200,125,350,LQ,38
256x108,30,200,125,350,LQ,38
256x106,24,200,125,350,LQ,38
256x106,25,200,125,350,LQ,38
256x106,30,200,125,350,LQ,38
256x110,24,200,125,350,LQ,38
256x110,25,200,125,350,LQ,38
256x110,30,200,125,350,LQ,38
426x240,24,400,250,700,LQ,37
426x240,25,400,250,700,LQ,37
426x240,30,400,250,700,LQ,37
426x178,24,400,250,700,LQ,37
426x178,25,400,250,700,LQ,37
426x178,30,400,250,700,LQ,37
426x182,24,400,250,700,LQ,37
426x182,25,400,250,700,LQ,37
426x182,30,400,250,700,LQ,37
640x360,24,800,500,1400,LQ,36
640x360,25,800,500,1400,LQ,36
640x360,30,800,500,1400,LQ,36
640x268,24,800,500,1400,LQ,36
640x268,25,800,500,1400,LQ,36
640x268,30,800,500,1400,LQ,36
640x272,24,800,500,1400,LQ,36
640x272,25,800,500,1400,LQ,36
640x272,30,800,500,1400,LQ,36
640x266,24,800,500,1400,LQ,36
640x266,25,800,500,1400,LQ,36
640x266,30,800,500,1400,LQ,36
854x480,24,1600,750,2100,MQ,33
854x480,25,1600,750,2100,MQ,33
854x480,30,1600,750,2100,MQ,33
854x358,24,1600,750,2100,MQ,33
854x358,25,1600,750,2100,MQ,33
854x358,30,1600,750,2100,MQ,33
854x364,24,1600,750,2100,MQ,33
854x364,25,1600,750,2100,MQ,33
854x364,30,1600,750,2100,MQ,33
854x356,24,1600,750,2100,MQ,33
854x356,25,1600,750,2100,MQ,33
854x356,30,1600,750,2100,MQ,33
1280x720,24,2400,1500,4200,HQ,32
1280x720,25,2400,1500,4200,HQ,32
1280x720,30,2400,1500,4200,HQ,32
1280x536,24,2400,1500,4200,HQ,32
1280x536,25,2400,1500,4200,HQ,32
1280x536,30,2400,1500,4200,HQ,32
1280x534,24,2400,1500,4200,HQ,32
1280x534,25,2400,1500,4200,HQ,32
1280x534,30,2400,1500,4200,HQ,32
1280x546,24,2400,1500,4200,HQ,32
1280x546,25,2400,1500,4200,HQ,32
1280x546,30,2400,1500,4200,HQ,32
1280x582,24,2400,1500,4200,HQ,32
1280x582,25,2400,1500,4200,HQ,32
1280x582,30,2400,1500,4200,HQ,32
1920x1080,24,4800,3000,8400,HQ,31
1920x1080,25,4800,3000,8400,HQ,31
1920x1080,30,4800,3000,8400,HQ,31
1920x804,24,4800,3000,8400,HQ,31
1920x804,25,4800,3000,8400,HQ,31
1920x804,30,4800,3000,8400,HQ,31
1920x818,24,4800,3000,8400,HQ,31
1920x818,25,4800,3000,8400,HQ,31
1920x818,30,4800,3000,8400,HQ,31
1920x800,24,4800,3000,8400,HQ,31
1920x800,25,4800,3000,8400,HQ,31
1920x800,30,4800,3000,8400,HQ,31
1920x803,24,4800,3000,8400,HQ,31
1920x803,25,4800,3000,8400,HQ,31
1920x803,30,4800,3000,8400,HQ,31
1920x872,24,4800,3000,8400,HQ,31
1920x872,25,4800,3000,8400,HQ,31
1920x872,30,4800,3000,8400,HQ,31
2048x858,24,4800,3000,8400,HQ,24
2048x858,25,4800,3000,8400,HQ,24
2048x858,30,4800,3000,8400,HQ,24
2048x872,24,4800,3000,8400,HQ,24
2048x872,25,4800,3000,8400,HQ,24
2048x872,30,4800,3000,8400,HQ,24
2560x1162,24,8000,5000,14000,HQ,24
2560x1162,25,8000,5000,14000,HQ,24
2560x1162,30,8000,5000,14000,HQ,24
2560x1090,24,8000,5000,14000,HQ,24
2560x1090,25,8000,5000,14000,HQ,24
2560x1090,30,8000,5000,14000,HQ,24
2560x1071,24,8000,5000,14000,HQ,24
2560x1071,25,8000,5000,14000,HQ,24
2560x1071,30,8000,5000,14000,HQ,24
3840x2160,24,16000,10000,28000,UQ,15
3840x2160,25,16000,10000,28000,UQ,15
3840x2160,30,16000,10000,28000,UQ,15
4096x1744,24,16000,10000,28000,UQ,15
4096x1744,25,16000,10000,28000,UQ,15
4096x1744,30,16000,10000,28000,UQ,15
2560x1440,24,8000,5000,14000,HQ,24
2560x1440,25,8000,5000,14000,HQ,24
2560x1440,30,8000,5000,14000,HQ,24
